,spelling,phonetic,plurality,thirdpp,present_participle,past_tense,past_participle,explains
0,a,ə,a's或as,,,,,['art. 一；任一；每一']
1,abbreviation,əˌbriːviˈeɪʃn,abbreviations,,,,,['n. 缩略词，缩写形式；缩略，缩写']
2,ability,əˈbɪləti,abilities,,,,,['n. 能力，能够；才能，技能，本领']
3,able,ˈeɪb(ə)l,,,,,,"['adj. 能够，有能力的；聪明能干的，精通（某事）的', '【名】 （Able）（英）埃布尔，（伊朗）阿布勒（人名）']"
4,abort,,,,,,,
5,abortion,əˈbɔːʃn,abortions,,,,,['n. 流产，堕胎；失败；（生）（器官，尤其是种子或水果的）败育，停止发育；流产的胎儿']
6,about,əˈbaʊt,,,,,,"['adv. 大约；几乎；到处，各处；无所事事；周围，在……附近；无序地，凌乱地；朝相反方向', 'prep. 关于，对于；目的是；针对（问题）；忙于，从事于；对……表示（情绪或心态）；各处，四下；在……附近；（某人或某事物）具有（某种特性）；围绕', 'adj. 现成的，能得到的；即将（做……）的，快要（发生……）的 （be about to do sth.）；四处走动的', '【名】 （About）（法）艾保特（姓氏）']"
7,absorption,əbˈzɔːpʃn; əbˈsɔːpʃn,,,,,,['n. (液体、气体等的)吸收；吸纳，同化；专注，着迷；（液体、气体等的）吸收']
8,absurdity,əbˈsɜːdəti,absurdities,,,,,['n. 荒谬，荒唐；荒谬的言行']
9,acceleration,əkˌseləˈreɪʃ(ə)n,accelerations,,,,,['n. 加速，加快；（车辆）加速能力，加速幅度；加速度']
10,acceptable,əkˈseptəb(ə)l,,,,,,['adj. 可接受的，（大多数人）认同的；合意的，令人满意的；尚可的，勉强的；可容忍的，可允许的']
11,accomplishment,əˈkʌmplɪʃmənt,accomplishments,,,,,['n. 成就，成绩；技能，才艺；完成，实现']
12,accordance,əˈkɔːd(ə)ns,,,,,,['n. 按照，依据，与……一致（in accordance with）']
13,accountable,əˈkaʊntəbl,,,,,,['adj. 负有责任的，应作解释的；可理解的']
14,accountancy,əˈkaʊntənsi,,,,,,['n. 会计学，会计工作，会计行业']
15,accounting,əˈkaʊntɪŋ,,,,,,"['n. 会计，会计学；会计工作，会计职业（=accountancy）；账单', 'v. 解释，说明；占（一定数量或比例）（account 的现在分词形式）']"
16,accumulation,əˌkjuːmjəˈleɪʃn,,,,,,['n. 积累，堆积；堆积物，堆积量']
17,accumulative,əˈkjuːmjələtɪv,,,,,,['adj. 累积的，逐渐增加的']
18,accusation,ˌækjuˈzeɪʃn,accusations,,,,,['n. 控告，指责，谴责；（尚未证实的被控告的）罪名，罪状']
19,accustom,əˈkʌstəm,,accustoms,accustoming,accustomed,accustomed,['v. 使习惯于，使适应于']
20,ace,eɪs,,,,,,"['n. （扑克牌中的）A牌；擅长……的人，一流高手；（网球中的）发球得分，爱司球；（击落多架敌机的）王牌飞行员；（高尔夫）一杆进洞', 'adj. <非正式>一流的；<非正式>极好的', 'v. 在……中取得好成绩；（网球或排球）发球得分；胜过；（在高尔夫球比赛中）一杆进穴，一杆得分', '【名】 （Ace）（英、美、克）埃斯（人名）']"
21,ache,eɪk,aches,aches,aching,ached,ached,"['v. （隐隐地、持续地）疼痛；渴望；哀痛，怜悯', 'n. （身体某部位的）疼痛；（心中的）苦痛，痛苦；<文>渴望； <文>渴望', '【名】 （Ache）（美、法、印尼）阿切（人名）']"
22,achievement,əˈtʃiːvmənt,achievements,,,,,['n. 成绩，成就；完成，实现；（纹章）纹章牌']
23,acidity,əˈsɪdəti,acidities,,,,,['n. 酸度；（言辞的）尖酸；酸性；胃酸过多']
24,acknowledgement,əkˈnɒlɪdʒmənt,acknowledgements,,,,,['n. 承认；感谢；（作者的）致谢；回执；（表示注意到了某人或某事的）示意']
25,acting,ˈæktɪŋ,,,,,,"['adj. 代理的；表演的', 'n. 表演，演技', 'v. 行动；举动，表现；假装（act 的现在分词形式）']"
26,activist,ˈæktɪvɪst,activists,,,,,"['n. 积极分子，活动家', 'adj. 积极分子的']"
27,activity,ækˈtɪvəti,activities,,,,,['n. 活跃状况，热闹；活动；（Activity）热力活性，活度']
28,actually,ˈæktʃuəli,,,,,,['adv. 实际上，事实上；（用于开始新话题）其实；竟然，居然']
29,acupuncture,ˈækjupʌŋktʃə(r),,acupunctures,acupuncturing,acupunctured,acupunctured,"['n. 针灸，针刺疗法', 'v. 对……施行针刺疗法']"
30,ad,,,,,,,
31,adaptation,ˌædæpˈteɪʃn,adaptations,,,,,['n. 改编本，改写本；适应，改变；适应（性），适应力；适应性变化']
32,adaptive,əˈdæptɪv,,,,,,['adj. 适应的，有适应能力的']
33,addiction,əˈdɪkʃ(ə)n,addictions,,,,,['n. 瘾；入迷，嗜好']
34,addictive,əˈdɪktɪv,,,,,,['adj. 使人成瘾的；使欲罢不能的，使人入迷的；（人）容易沉迷的']
35,adequacy,ˈædɪkwəsi,adequacies,,,,,['n. 足够，胜任；适当，恰当']
36,adequately,ˈædɪkwətli,,,,,,['adv. 充分地，足够地；适当地']
37,adherence,ədˈhɪərəns,,,,,,['n. （尤指对规则、信念等的）遵守，坚持']
38,adjustment,əˈdʒʌstmənt,adjustments,,,,,['n. 调整，校正；（行为、思想的）调节，适应；调节器']
39,administrate,ədˈmɪnɪstreɪt,,administrates,administrating,administrated,administrated,['v. 管理，经营']
40,administrative,ədˈmɪnɪstrətɪv,,,,,,['adj. 管理的，行政的']
