used_time,height,weight,consumption,sleeping_time,character,gift_language,gift_sport,gift_music,gift_logic,gender
48.0,180.0,100.0,1500.0,8.0,0.0,8.0,6.0,6.0,6.0,1.0
34.0,179.0,102.0,1500.0,8.0,0.0,6.0,7.0,10.0,10.0,1.0
39.0,178.0,106.0,3000.0,7.0,1.0,8.0,9.0,7.0,9.0,1.0
66.0,168.0,97.0,1500.0,6.0,0.0,6.0,6.0,4.0,7.0,1.0
105.0,162.0,92.0,1500.0,8.0,1.0,7.0,8.0,6.0,5.0,0.0
54.0,180.0,115.0,1500.0,7.5,1.0,7.0,8.0,7.0,7.0,1.0
203.0,160.0,92.0,1500.0,8.0,1.0,8.0,7.0,8.0,7.0,0.0
57.0,170.0,106.0,800.0,7.3,0.0,5.0,5.0,3.0,8.0,1.0
181.0,165.0,100.0,800.0,8.0,0.0,8.0,6.0,7.0,9.0,1.0
95.0,174.0,112.0,2000.0,7.0,0.0,7.0,7.0,6.0,8.0,0.0
73.0,161.0,96.0,2000.0,7.5,0.0,7.0,3.0,3.0,6.0,0.0
71.0,180.0,120.0,5000.0,6.0,1.0,10.0,10.0,10.0,10.0,1.0
39.0,180.0,120.0,2000.0,6.0,0.0,6.0,8.0,6.0,8.0,1.0
30.0,176.0,115.0,1500.0,7.0,0.0,7.0,8.0,4.0,7.0,1.0
77.0,164.0,100.0,1200.0,7.0,0.0,6.0,6.0,4.0,7.0,1.0
81.0,172.0,110.0,3500.0,7.0,1.0,5.0,9.0,10.0,6.0,0.0
98.0,160.0,96.0,1800.0,7.0,0.0,7.0,7.0,8.5,8.0,0.0
31.0,172.0,112.0,2000.0,10.0,0.0,6.0,6.0,3.0,8.0,1.0
89.0,178.0,120.0,1500.0,7.0,1.0,7.0,9.0,7.0,8.0,1.0
26.0,175.0,116.0,1500.0,6.0,1.0,10.0,10.0,10.0,10.0,1.0
91.0,168.0,108.0,1100.0,8.0,0.0,6.0,7.0,7.0,8.0,1.0
81.0,155.0,92.0,1400.0,5.0,1.0,6.0,2.0,4.0,6.0,0.0
76.0,158.0,96.0,1200.0,8.0,0.0,9.0,7.0,5.0,8.0,0.0
93.0,176.0,120.0,800.0,7.5,0.0,6.8,6.0,6.0,7.0,1.0
167.0,183.0,130.0,1300.0,6.5,0.0,7.0,7.0,6.0,7.0,1.0
73.0,165.0,106.0,1500.0,8.0,1.0,8.0,3.0,9.0,9.0,0.0
62.0,168.0,110.0,1500.0,8.0,0.0,4.0,3.0,2.0,1.0,1.0
55.0,168.0,110.0,1800.0,7.0,1.0,6.0,8.0,8.0,7.0,0.0
73.0,175.0,120.0,1500.0,7.0,0.0,10.0,10.0,10.0,10.0,1.0
